t,N45,N32,N35,N36
0,0.00980702309396243,0.239797532426452,0.124802277760207,0.124802277760207
15,34.0484024043024,43.8229990509333,35.5433407149636,51.8726668775704
30,48.882790256248,64.4071496361911,56.0124960455552,69.3519455868396
45,59.0023726668776,73.7217652641569,62.9122113255299,78.0915849414742
60,67.9720025308447,80.9664663081303,70.1569123695033,84.0713381841189
75,72.5718127174945,82.4614046187915,73.0317937361594,88.6711483707687
90,76.9416323948118,85.9112622587789,75.5616893388168,92.3509965200886
105,80.1614995254666,88.5561531161025,77.976589686808,95.5708636507434
120,83.3813666561215,90.8560582094274,78.4365707054729,97.6407782347358
150,86.8312242961088,90.9710534640936,80.7364757987978,97.8707687440683
180,88.9011388801012,90.7410629547611,80.9664663081303,98.1007592534008
210,89.9360961720974,92.6959822840873,80.3914900347991,98.5607402720658
